Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,IMDb_Link
Meri Ganga Ki Saugandh,2003,110,Action,5.6,7,Kanti Shah,Shakti Kapoor,Amit Pachori,Sapna Sappu,https://www.imdb.com/find?q=Meri%20Ganga%20Ki%20Saugandh
Meri Jung,1985,164,"Action, Drama",7.3,1210,Subhash Ghai,Anil Kapoor,Girish Karnad,Nutan,https://www.imdb.com/find?q=Meri%20Jung
Meri Majboorii...,2006,102,"Action, Crime, Drama",3.2,8,Sandeep Bhatt,Tanveer Ahmad,Rakhi Bajaj,Seema Biswas,https://www.imdb.com/find?q=Meri%20Majboorii...
Meri Nimmo,2018,90,Drama,7.1,283,Rahul Shanklya,Anjali Patil,Karan Dave,Aryan Mishra,https://www.imdb.com/find?q=Meri%20Nimmo
Meri Pyaari Bahania Banegi Dulhania,2001,131,Family,5.0,10,Jayant Gilatar,Sulabha Arya,Mithun Chakraborty,Shahid Khan,https://www.imdb.com/find?q=Meri%20Pyaari%20Bahania%20Banegi%20Dulhania
Meri Pyaari Bindu,2017,117,"Comedy, Drama, Romance",6.0,4495,Akshay Roy,Ayushmann Khurrana,Parineeti Chopra,Aarnaa Sharma,https://www.imdb.com/find?q=Meri%20Pyaari%20Bindu
Meri Zabaan,1989,149,"Action, Crime, Drama",5.7,16,Shibu Mitra,Shashi Kapoor,Mithun Chakraborty,Vinod Mehra,https://www.imdb.com/find?q=Meri%20Zabaan
Michael,2011,97,"Drama, Thriller",5.3,149,Ribhu Dasgupta,Naseeruddin Shah,Mahie Gill,Sabyasachi Chakrabarty,https://www.imdb.com/find?q=Michael
Mickey Virus,2013,135,"Comedy, Thriller",6.0,2639,Saurabh Varma,Kumar Neeraj,Manish Paul,Dean Alexandrou,https://www.imdb.com/find?q=Mickey%20Virus
Midnight's Children,2012,146,Drama,6.2,3031,Deepa Mehta,Rajat Kapoor,Vansh Bhardwaj,Anupam Kher,https://www.imdb.com/find?q=Midnight's%20Children
Milan,1967,170,"Drama, Musical, Romance",6.8,160,Adurthi Subba Rao,Sunil Dutt,Nutan,Jamuna,https://www.imdb.com/find?q=Milan
Milan Talkies,2019,141,"Drama, Romance",5.0,321,Tigmanshu Dhulia,Ali Fazal,Sanjay Mishra,Ashutosh Rana,https://www.imdb.com/find?q=Milan%20Talkies
Milap,1972,111,"Drama, Horror, Thriller",6.0,23,B.R. Ishara,Shatrughan Sinha,Reena Roy,Danny Denzongpa,https://www.imdb.com/find?q=Milap
Milenge Milenge,2010,109,"Drama, Romance",4.1,1739,Satish Kaushik,Kareena Kapoor,Shahid Kapoor,Aarti Chhabria,https://www.imdb.com/find?q=Milenge%20Milenge
Milestone,2020,98,Drama,6.6,411,Ivan Ayr,Mohinder Gujral,Pavitra Mattoo,Lakshvir Saran,https://www.imdb.com/find?q=Milestone
Miley - Naa Miley - Hum,2011,114,"Comedy, Drama, Romance",2.5,225,Tanveer Khan,Chirag Paswan,Kangana Ranaut,Neeru Bajwa,https://www.imdb.com/find?q=Miley%20-%20Naa%20Miley%20-%20Hum
Mili,1975,150,"Drama, Romance, Family",7.5,1272,Hrishikesh Mukherjee,Jaya Bachchan,Amitabh Bachchan,Usha Kiran,https://www.imdb.com/find?q=Mili
Milta Hai Chance by Chance,2011,87,Comedy,6.2,9,Ramesh Modi,Muntazir Ahmad,Diveyaa Dwivedi,Divyaa Dwivedi,https://www.imdb.com/find?q=Milta%20Hai%20Chance%20by%20Chance
Mind,1999,160,"Drama, Romance",6.2,5078,Indra Kumar,Aamir Khan,Manisha Koirala,Sharmila Tagore,https://www.imdb.com/find?q=Mind
Mirch,2010,105,"Comedy, Drama, Fantasy",6.5,855,Vinay Shukla,Arunoday Singh,Raima Sen,Konkona Sen Sharma,https://www.imdb.com/find?q=Mirch
