Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,IMDb_Link
#Gadhvi (He thought he was Gandhi),2019,109,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,https://www.imdb.com/find?q=#Gadhvi%20(He%20thought%20he%20was%20Gandhi)
#Yaaram,2019,110,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,https://www.imdb.com/find?q=#Yaaram
...Aur Pyaar Ho Gaya,1997,147,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,https://www.imdb.com/find?q=...Aur%20Pyaar%20Ho%20Gaya
...Yahaan,2005,142,"Drama, Romance, War",7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,https://www.imdb.com/find?q=...Yahaan
?: A Question Mark,2012,82,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,https://www.imdb.com/find?q=?:%20A%20Question%20Mark
@Andheri,2014,116,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,https://www.imdb.com/find?q=@Andheri
1:1.6 An Ode to Lost Love,2004,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,https://www.imdb.com/find?q=1:1.6%20An%20Ode%20to%20Lost%20Love
1:13:7 Ek Tera Saath,2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,https://www.imdb.com/find?q=1:13:7%20Ek%20Tera%20Saath
100 Days,1991,161,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,https://www.imdb.com/find?q=100%20Days
100% Love,2012,166,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,https://www.imdb.com/find?q=100%%20Love
102 Not Out,2018,102,"Comedy, Drama",7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,https://www.imdb.com/find?q=102%20Not%20Out
10ml LOVE,2010,87,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,https://www.imdb.com/find?q=10ml%20LOVE
12 O'Clock,1958,132,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,https://www.imdb.com/find?q=12%20O'Clock
12 O'Clock,2021,105,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,https://www.imdb.com/find?q=12%20O'Clock
127 B,2017,116,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,https://www.imdb.com/find?q=127%20B
13B: Fear Has a New Address,2009,146,"Drama, Horror, Mystery",7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,https://www.imdb.com/find?q=13B:%20Fear%20Has%20a%20New%20Address
15 Park Avenue,2005,116,Drama,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,https://www.imdb.com/find?q=15%20Park%20Avenue
15th August,1993,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,https://www.imdb.com/find?q=15th%20August
16-Dec,2002,158,"Action, Thriller",6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,https://www.imdb.com/find?q=16-Dec
18.11,2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,https://www.imdb.com/find?q=18.11
19 Revolutions,2004,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,https://www.imdb.com/find?q=19%20Revolutions
1920,2008,138,"Horror, Mystery, Romance",6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,https://www.imdb.com/find?q=1920
1920 London,2016,120,"Horror, Mystery",4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,https://www.imdb.com/find?q=1920%20London
1920: Evil Returns,2012,124,"Drama, Horror, Romance",4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,https://www.imdb.com/find?q=1920:%20Evil%20Returns
1921,2018,144,"Horror, Mystery, Romance",4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,https://www.imdb.com/find?q=1921
1942: A Love Story,1994,157,"Action, Drama, History",7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,https://www.imdb.com/find?q=1942:%20A%20Love%20Story
1971,2007,136,"Action, Drama, War",8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,https://www.imdb.com/find?q=1971
1978: A Teen Night Out,2019,107,Thriller,4.0,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,https://www.imdb.com/find?q=1978:%20A%20Teen%20Night%20Out
1982 - A Love Marriage,2017,113,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,https://www.imdb.com/find?q=1982%20-%20A%20Love%20Marriage
2 Nights in Soul Valley,2012,80,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,https://www.imdb.com/find?q=2%20Nights%20in%20Soul%20Valley
02-Oct,2003,122,"Action, Crime, Thriller",5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,https://www.imdb.com/find?q=02-Oct
2 States,2014,149,"Comedy, Drama, Romance",6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,https://www.imdb.com/find?q=2%20States
2,2018,148,"Action, Sci-Fi",6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,https://www.imdb.com/find?q=2
2001: Do Hazaar Ek,1998,149,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,https://www.imdb.com/find?q=2001:%20Do%20Hazaar%20Ek
2016 the End,2017,130,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,https://www.imdb.com/find?q=2016%20the%20End
22 Days,2018,124,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,https://www.imdb.com/find?q=22%20Days
22 June 1897,1979,121,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,https://www.imdb.com/find?q=22%20June%201897
22 Yards,2019,126,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,https://www.imdb.com/find?q=22%20Yards
23rd March 1931: Shaheed,2002,188,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,https://www.imdb.com/find?q=23rd%20March%201931:%20Shaheed
27 Down,1974,115,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,https://www.imdb.com/find?q=27%20Down
3 AM: A Paranormal Experience,2014,103,"Horror, Romance",5.0,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,https://www.imdb.com/find?q=3%20AM:%20A%20Paranormal%20Experience
3 Bachelors,2012,114,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,https://www.imdb.com/find?q=3%20Bachelors
3 Deewarein,2003,115,"Crime, Drama",7.8,2322,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,https://www.imdb.com/find?q=3%20Deewarein
3 Dev,2019,122,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,https://www.imdb.com/find?q=3%20Dev
3 Idiots,2009,170,"Comedy, Drama",8.4,357889,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,https://www.imdb.com/find?q=3%20Idiots
3 Storeys,2018,100,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,https://www.imdb.com/find?q=3%20Storeys
3.0 Megapixel,2015,99,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,https://www.imdb.com/find?q=3.0%20Megapixel
31st October,2015,109,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,https://www.imdb.com/find?q=31st%20October
36 China Town,2006,140,"Comedy, Mystery, Thriller",5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,https://www.imdb.com/find?q=36%20China%20Town
36 Chowringhee Lane,1981,122,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,https://www.imdb.com/find?q=36%20Chowringhee%20Lane
376 D,2020,128,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,https://www.imdb.com/find?q=376%20D
377 AbNormal,2019,93,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,https://www.imdb.com/find?q=377%20AbNormal
3D Saamri,1985,102,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,https://www.imdb.com/find?q=3D%20Saamri
3G: A Killer Connection,2013,125,"Horror, Sci-Fi, Thriller",3.6,1128,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,https://www.imdb.com/find?q=3G:%20A%20Killer%20Connection
3rd EYE,2019,145,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,https://www.imdb.com/find?q=3rd%20EYE
404: Error Not Found,2011,121,"Drama, Mystery, Thriller",7.3,2548,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,https://www.imdb.com/find?q=404:%20Error%20Not%20Found
417 Miles,2016,75,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,https://www.imdb.com/find?q=417%20Miles
498A-The Wedding Gift,2012,113,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,https://www.imdb.com/find?q=498A-The%20Wedding%20Gift
5 Ghantey Mien 5 Crore,2012,111,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,https://www.imdb.com/find?q=5%20Ghantey%20Mien%205%20Crore
5 Rifles,1974,134,"Action, Comedy",6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,https://www.imdb.com/find?q=5%20Rifles
5ters: Castle of Dark Master,2011,110,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,Akash,Avinash,Gagan,https://www.imdb.com/find?q=5ters:%20Castle%20of%20Dark%20Master
6-5=2,2014,104,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,https://www.imdb.com/find?q=6-5=2
68 Pages,2007,92,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,https://www.imdb.com/find?q=68%20Pages
7 1/2 Phere: More Than a Wedding,2005,136,"Comedy, Drama",5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,https://www.imdb.com/find?q=7%201/2%20Phere:%20More%20Than%20a%20Wedding
7 Bijliyaan,1988,126,Action,5.0,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,https://www.imdb.com/find?q=7%20Bijliyaan
7 Hours to Go,2016,115,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,https://www.imdb.com/find?q=7%20Hours%20to%20Go
7 Islands and a Metro,2006,100,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,https://www.imdb.com/find?q=7%20Islands%20and%20a%20Metro
7 Khoon Maaf,2011,137,"Drama, Mystery, Thriller",6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,https://www.imdb.com/find?q=7%20Khoon%20Maaf
7 Saal Baad,1987,127,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,https://www.imdb.com/find?q=7%20Saal%20Baad
706,2019,120,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,https://www.imdb.com/find?q=706
72 Hours: Martyr Who Never Died,2019,130,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,https://www.imdb.com/find?q=72%20Hours:%20Martyr%20Who%20Never%20Died
8 x 10 Tasveer,2009,122,"Action, Fantasy, Mystery",5.4,5459,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,https://www.imdb.com/find?q=8%20x%2010%20Tasveer
8119 Miles,2021,115,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,https://www.imdb.com/find?q=8119%20Miles
88 Antop Hill,2003,119,"Mystery, Thriller",4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,https://www.imdb.com/find?q=88%20Antop%20Hill
9 O' Clock,2017,124,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,https://www.imdb.com/find?q=9%20O'%20Clock
99,2009,135,"Comedy, Crime, Drama",7.3,2767,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,https://www.imdb.com/find?q=99
99 Songs,2019,128,"Musical, Romance",7.4,1901,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,https://www.imdb.com/find?q=99%20Songs
99.9 FM,2005,90,"Crime, Drama",4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra,https://www.imdb.com/find?q=99.9%20FM
A Billion Colour Story,2016,105,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki,https://www.imdb.com/find?q=A%20Billion%20Colour%20Story
A Daughter's Tale PANKH,2017,145,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad,https://www.imdb.com/find?q=A%20Daughter's%20Tale%20PANKH
A Death in the Gunj,2016,110,"Drama, Thriller",7.5,4637,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah,https://www.imdb.com/find?q=A%20Death%20in%20the%20Gunj
A Film by Aravind,2005,150,"Horror, Mystery",6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi,https://www.imdb.com/find?q=A%20Film%20by%20Aravind
A Flat,2010,103,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney,https://www.imdb.com/find?q=A%20Flat
A Flying Jatt,2016,151,"Action, Adventure, Comedy",3.0,4145,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,https://www.imdb.com/find?q=A%20Flying%20Jatt
A Game Called Relationship,2020,109,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri,https://www.imdb.com/find?q=A%20Game%20Called%20Relationship
A Gentleman,2017,145,"Action, Comedy",6.2,5227,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez,https://www.imdb.com/find?q=A%20Gentleman
A Gift of Love: Sifar,2019,95,"Drama, Romance",8.0,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai,https://www.imdb.com/find?q=A%20Gift%20of%20Love:%20Sifar
A Journey of Samyak Buddha,2013,127,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare,https://www.imdb.com/find?q=A%20Journey%20of%20Samyak%20Buddha
A New Love Ishtory,2013,140,Romance,6.0,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar,https://www.imdb.com/find?q=A%20New%20Love%20Ishtory
A Scandall,2016,112,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,https://www.imdb.com/find?q=A%20Scandall
A Sublime Love Story: Barsaat,2005,143,"Drama, Romance",3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas,https://www.imdb.com/find?q=A%20Sublime%20Love%20Story:%20Barsaat
A Thin Line,2019,104,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,https://www.imdb.com/find?q=A%20Thin%20Line
A Wednesday,2008,104,"Action, Crime, Drama",8.1,75118,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,https://www.imdb.com/find?q=A%20Wednesday
Aa Ab Laut Chalen,1999,177,"Musical, Romance, Drama",5.5,1621,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan,https://www.imdb.com/find?q=Aa%20Ab%20Laut%20Chalen
AA BB KK,2018,121,Drama,8.0,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia,https://www.imdb.com/find?q=AA%20BB%20KK
Aa Dekhen Zara,2009,117,"Action, Sci-Fi, Thriller",5.0,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,https://www.imdb.com/find?q=Aa%20Dekhen%20Zara
Aa Gale Lag Jaa,1973,148,"Action, Drama, Romance",7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha,https://www.imdb.com/find?q=Aa%20Gale%20Lag%20Jaa
Aa Gale Lag Jaa,1994,158,"Mystery, Romance",4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal,https://www.imdb.com/find?q=Aa%20Gale%20Lag%20Jaa
Aa Gaya Hero,2017,123,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey,https://www.imdb.com/find?q=Aa%20Gaya%20Hero
Aa Jao Please,2016,120,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya,https://www.imdb.com/find?q=Aa%20Jao%20Please
Aabra Ka Daabra,2004,144,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik,https://www.imdb.com/find?q=Aabra%20Ka%20Daabra
Aabroo,1968,170,"Comedy, Crime, Drama",5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman,https://www.imdb.com/find?q=Aabroo
Aadamkhor,2018,72,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat,https://www.imdb.com/find?q=Aadamkhor
Aadat Se Majboor,1982,105,"Action, Crime, Drama",5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri,https://www.imdb.com/find?q=Aadat%20Se%20Majboor
Aadha Din Aadhee Raat,1977,132,Action,5.1,18,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi,https://www.imdb.com/find?q=Aadha%20Din%20Aadhee%20Raat
Aadhaar,2019,107,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav,https://www.imdb.com/find?q=Aadhaar
Aadharshila,1982,154,Drama,6.4,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta,https://www.imdb.com/find?q=Aadharshila
Aadhi Bhagavan,2013,157,"Action, Crime, Thriller",5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran,https://www.imdb.com/find?q=Aadhi%20Bhagavan
Aadhi Raat,1950,115,"Drama, Romance",6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur,https://www.imdb.com/find?q=Aadhi%20Raat
Aadmi,1968,175,"Drama, Romance",6.8,196,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar,https://www.imdb.com/find?q=Aadmi
Aadmi,1993,153,"Action, Crime, Drama",6.5,97,Arshad Khan,Ajit,Vikas Anand,Arjun,https://www.imdb.com/find?q=Aadmi
Aadmi Aur Apsara,1991,142,Fantasy,6.7,66,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri,https://www.imdb.com/find?q=Aadmi%20Aur%20Apsara
Aadmi Aur Insaan,1969,168,"Drama, Romance, Thriller",6.2,149,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan,https://www.imdb.com/find?q=Aadmi%20Aur%20Insaan
Aadmi Khilona Hai,1993,158,"Drama, Romance",5.0,142,J. Om Prakash,Jeetendra,Reena Roy,Govinda,https://www.imdb.com/find?q=Aadmi%20Khilona%20Hai
Aadmi Ki Aurat Aur Anya Kahaniya,2009,78,Drama,7.6,62,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi,https://www.imdb.com/find?q=Aadmi%20Ki%20Aurat%20Aur%20Anya%20Kahaniya
Aadmi Sadak Ka,1977,138,"Drama, Family",5.4,34,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera,https://www.imdb.com/find?q=Aadmi%20Sadak%20Ka
Aadupuliyattam,2016,145,Horror,4.2,266,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri,https://www.imdb.com/find?q=Aadupuliyattam
Aafat,1977,148,"Crime, Drama",5.3,17,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.,https://www.imdb.com/find?q=Aafat
Aag,1948,138,"Musical, Romance",7.4,357,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana,https://www.imdb.com/find?q=Aag
Aag,1994,139,"Action, Comedy, Drama",4.6,227,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre,https://www.imdb.com/find?q=Aag
Aag Aur Chingari,1994,133,Action,4.1,13,Kanti Shah,Alpana,Aparajita,Asrani,https://www.imdb.com/find?q=Aag%20Aur%20Chingari
Aag Hi Aag,1987,170,Action,5.3,93,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee,https://www.imdb.com/find?q=Aag%20Hi%20Aag
Aag Ka Gola,1990,180,"Action, Drama",4.8,101,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh,https://www.imdb.com/find?q=Aag%20Ka%20Gola
Aag Ka Toofaan,1993,137,Action,4.8,21,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani,https://www.imdb.com/find?q=Aag%20Ka%20Toofaan
Aag Ke Sholay,1988,138,"Action, Thriller",3.4,7,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi,https://www.imdb.com/find?q=Aag%20Ke%20Sholay
Aag Se Khelenge,1989,151,Action,5.0,52,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor,https://www.imdb.com/find?q=Aag%20Se%20Khelenge
Aage Maut Peeche Maut,2001,78,Horror,3.1,7,A.T. Joy,Lekha Pande,Vimal Raj,Shakila,https://www.imdb.com/find?q=Aage%20Maut%20Peeche%20Maut
Aagey Se Right,2009,117,"Comedy, Crime, Drama",5.0,381,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra,https://www.imdb.com/find?q=Aagey%20Se%20Right
Aaghaaz,2000,153,"Action, Crime, Drama",4.2,274,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar,https://www.imdb.com/find?q=Aaghaaz
Aah,1953,150,"Drama, Musical, Romance",7.2,275,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi,https://www.imdb.com/find?q=Aah
Aahuti,1978,135,"Action, Drama",6.0,25,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan,https://www.imdb.com/find?q=Aahuti
Aaina,1993,149,"Drama, Romance",6.0,448,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh,https://www.imdb.com/find?q=Aaina
Aaina,1977,150,Drama,6.8,94,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal,https://www.imdb.com/find?q=Aaina
Aaj,1987,116,Drama,5.5,281,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran,https://www.imdb.com/find?q=Aaj
Aaj Aur Kal,1963,144,"Drama, Romance",5.6,52,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda,https://www.imdb.com/find?q=Aaj%20Aur%20Kal
Aaj Ka Andha Kanoon,2003,46,Action,3.1,15,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali,https://www.imdb.com/find?q=Aaj%20Ka%20Andha%20Kanoon
Aaj Ka Arjun,1990,164,"Action, Crime, Drama",4.7,586,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar,https://www.imdb.com/find?q=Aaj%20Ka%20Arjun
Aaj Ka Daur,1985,153,"Action, Drama",5.1,40,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy,https://www.imdb.com/find?q=Aaj%20Ka%20Daur
Aaj Ka Goonda Raaj,1992,147,"Action, Thriller",5.3,144,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar,https://www.imdb.com/find?q=Aaj%20Ka%20Goonda%20Raaj
Aaj Ka Mahaatma,1976,170,"Action, Romance",3.5,23,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet,https://www.imdb.com/find?q=Aaj%20Ka%20Mahaatma
Aaj Ka Ravan,2000,128,"Action, Crime",4.3,31,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan,https://www.imdb.com/find?q=Aaj%20Ka%20Ravan
Aaj Ka Samson,1991,123,"Action, Romance",3.1,14,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor,https://www.imdb.com/find?q=Aaj%20Ka%20Samson
Aaj Kaa M.L.A. Ram Avtar,1984,157,"Action, Drama",5.8,65,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma,https://www.imdb.com/find?q=Aaj%20Kaa%20M.L.A.%20Ram%20Avtar
Aaj Ke Angaarey,1988,128,"Action, Drama",5.0,26,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh,https://www.imdb.com/find?q=Aaj%20Ke%20Angaarey
Aaj Ke Shahenshah,1990,132,Action,3.3,15,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday,https://www.imdb.com/find?q=Aaj%20Ke%20Shahenshah
Aaj Ki Awaz,1984,137,"Action, Drama, Crime",5.6,79,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan,https://www.imdb.com/find?q=Aaj%20Ki%20Awaz
Aaja Meri Jaan,1993,162,Romance,4.4,30,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor,https://www.imdb.com/find?q=Aaja%20Meri%20Jaan
Aaja Nachle,2007,137,"Drama, Family, Music",6.2,2998,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav,https://www.imdb.com/find?q=Aaja%20Nachle
Aaja Sanam,1968,121,"Drama, Romance",6.7,14,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma,https://www.imdb.com/find?q=Aaja%20Sanam
